"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"One_class","cluster12008.cds.aln-cln","TN+F+G4","G4",-5892.0369,-4596.4053,"TN{1,3.2783,1,1,4.4093,1}+F{0.2037,0.2471,0.3454,0.2038}",11894.0737,11901.0499,12160.5386,"Mixture",939,26,0.486687965921193,"31.42%",430,24,0.5217,0.5999,0.2227,34.9428,1.3884,NA,"1.4505","0.3581","0.2469","0","0.0019","0.0142","0.0317","0.0246","0.3228"
"Mixture","cluster12163.cds.aln-cln","MIX{TNe,K80+FO}+G","G4",-4352.6784,-2893.1247,"TNe{1.853,3.00852}+FQ;K2P{199.98}+FQ",8813.3568,8821.2874,9066.5952,"Mixture",804,26,0.603233830845771,"23.13%",250,28,0.6087,0.7804,0.3314,41.0853,1.0826,NA,"1.3459","0.1601","0.119","0","0.0014","0.012","0.0266","0.0173","0.3519"
"One_class","cluster12163.cds.aln-cln","TNe+I+G4","I+G4",-4365.2004,-2893.1247,"TNe{1,3.2277,1,1,5.5525,1}+I{0.25,0.25,0.25,0.25}",8836.4009,8844.0329,9084.9496,"Mixture",804,26,0.603233830845771,"23.13%",250,26,0.5652,0.7068,0.3011,39.8497,0.9766,NA,"1.3012","0.1674","0.1287","0","0.0014","0.011","0.0275","0.0164","0.3836"
"Mixture","cluster12240.cds.aln-cln","MIX{K2P,JC+FO}+I","I",-1600.9693,-1143.5658,"K2P{12.9219}+FQ;JC",3305.9387,3323.2177,3509.7211,"Mixture",372,26,0.669354838709677,"18.01%",114,32,0.6957,0.5521,0.1467,45.4753,1.3234,NA,"0.6496","0.144","0.2217","0","0.0025","0.0028","0.0132","0.0138","0.1146"
"One_class","cluster12240.cds.aln-cln","K2P+I","I",-1604.5353,-1143.5658,"K2P{1,5.749,1,1,5.749,1}+I{0.25,0.25,0.25,0.25}",3311.0707,3327.6457,3510.9342,"Mixture",372,26,0.669354838709677,"18.01%",114,34,0.7391,0.5577,0.1493,45,1.3331,NA,"0.646","0.1425","0.2206","0","0.0026","0.0044","0.0133","0.0112","0.1186"
"Mixture","cluster12037.cds.aln-cln","MIX{TN+FO,K80+FO,TNe+FO}+I+R2","I+R2",-7969.9281,-5960.5605,"TN{3.65802,3.2789}+FO{0.0512587,0.206492,0.637509,0.104741};K2P{0.336064}+FQ;TNe{8.15709,13.4774}+FQ",16063.8561,16070.146,16384.6416,"Mixture",1305,26,0.510344827586207,"28.97%",555,20,0.4348,1.2182,0.3919,37.8946,3.4739,NA,"2.2695","0.4666","0.2056","0","0.0061","0.018","0.0406","0.0382","0.3491"
"One_class","cluster12037.cds.aln-cln","TN+F+I+R2","I+R2",-8038.0697,-5960.5605,"TN{1,2.2486,1,1,3.7989,1}+F{0.2124,0.2331,0.3054,0.2492}",16190.1394,16195.4417,16485.055,"Mixture",1305,26,0.510344827586207,"28.97%",555,20,0.4348,0.9405,0.2816,42,2.5853,NA,"1.9911","0.4108","0.2063","0","0.0049","0.019","0.0463","0.0397","0.4342"
"Mixture","cluster12222.cds.aln-cln","MIX{TN+FO,TNe+FO,JC+FO}+G","G4",-4263.3823,-2894.8561,"TN{0.0001,32.4365}+FO{0.211138,0.356834,0.383974,0.0480551};TNe{14.8994,21.0679}+FQ;JC",8644.7646,8655.3953,8915.4301,"Mixture",726,26,0.553719008264463,"25.62%",288,26,0.5652,0.6063,0.1768,48.8774,1.1142,NA,"1.4432","0.2579","0.1787","0","0.0025","0.0098","0.0252","0.0243","0.2395"
"One_class","cluster12222.cds.aln-cln","TN+F+G4","G4",-4281.585,-2894.8561,"TN{1,1.6872,1,1,3.8903,1}+F{0.219,0.2729,0.3104,0.1977}",8673.1701,8682.3641,8925.4853,"Mixture",726,26,0.553719008264463,"25.62%",288,26,0.5652,0.425,0.1161,48.3839,0.5552,NA,"1.2327","0.2644","0.2145","0","0.0027","0.0103","0.0295","0.0255","0.302"
"Mixture","cluster12066.cds.aln-cln","MIX{TN+FO,JC+FO}+R3","R3",-6840.8323,-5490.6083,"TN{6.59461,21.8165}+FO{0.307285,0.173623,0.34326,0.175832};JC",13799.6646,13806.2384,14096.7974,"Mixture",1137,26,0.510114335971856,"25.15%",489,22,0.4783,0.3676,0.1076,31.7017,0.5378,NA,"1.3627","0.2235","0.164","0","0.0021","0.0111","0.0254","0.0241","0.2472"
"One_class","cluster12066.cds.aln-cln","TN+F+G4","G4",-6879.7132,-5490.6083,"TN{1,2.4293,1,1,4.2237,1}+F{0.2739,0.2029,0.3087,0.2145}",13869.4264,13875.1248,14146.4145,"Mixture",1137,26,0.510114335971856,"25.15%",489,22,0.4783,0.2775,0.0662,31.7017,0.305,NA,"1.243","0.2065","0.1661","0","0.0022","0.0115","0.0278","0.0254","0.2933"
"Mixture","cluster12279.cds.aln-cln","K2P+I","I",-1582.6367,-1015.8303,"K2P{1,3.6249,1,1,3.6249,1}+I{0.25,0.25,0.25,0.25}",3267.2735,3286.3526,3461.0272,"Mixture",330,26,0.666666666666667,"23.64%",104,34,0.7391,0.5196,0.1276,59.8415,0.7174,NA,"0.7946","0.2318","0.2917","0","0.003","0.0061","0.0162","0.0191","0.1738"
"One_class","cluster12279.cds.aln-cln","K2P+I","I",-1582.638,-1015.8303,"K2P{1,3.6247,1,1,3.6247,1}+I{0.25,0.25,0.25,0.25}",3267.2759,3286.3551,3461.0297,"Mixture",330,26,0.666666666666667,"23.64%",104,34,0.7391,0.5196,0.1276,59.8415,0.7172,NA,"0.7947","0.2319","0.2918","0","0.003","0.0061","0.0162","0.0191","0.1738"
"Mixture","cluster12237.cds.aln-cln","TIM2e+I+G4","I+G4",-3854.9977,-2319.0233,"TIM2e{0.3626,0.881,0.3626,1,3.418,1}+I{0.25,0.25,0.25,0.25}",7817.9954,7829.0775,8054.6135,"One_class",591,26,0.56175972927242,"31.81%",249,38,0.8261,1.2082,0.2963,72.808,2.5553,NA,"1.994","0.4931","0.2473","0","0.0041","0.0163","0.0407","0.0405","0.3337"
"One_class","cluster12237.cds.aln-cln","TIM2e+I+G4","I+G4",-3854.9953,-2319.0233,"TIM2e{0.3639,0.8807,0.3639,1,3.4362,1}+I{0.25,0.25,0.25,0.25}",7817.9906,7829.0727,8054.6086,"One_class",591,26,0.56175972927242,"31.81%",249,38,0.8261,1.2102,0.297,73,2.5617,NA,"1.9961","0.4937","0.2473","0","0.0041","0.0163","0.0407","0.0405","0.3333"
"Mixture","cluster12287.cds.aln-cln","MIX{TNe,JC+FO}+I+R2","I+R2",-2953.1832,-2201.8297,"TNe{5.51542,12.4006}+FQ;JC",6016.3664,6027.8162,6257.6448,"Mixture",594,26,0.597643097643098,"21.89%",200,28,0.6087,0.3406,0.0717,60.2661,0.384,NA,"0.9619","0.2196","0.2283","0","0.0018","0.0069","0.0189","0.014","0.2142"
"One_class","cluster12287.cds.aln-cln","TNe+I+R2","I+R2",-2958.2045,-2201.8297,"TNe{1,2.6442,1,1,4.7463,1}+I{0.25,0.25,0.25,0.25}",6024.4091,6035.4295,6261.3005,"Mixture",594,26,0.597643097643098,"21.89%",200,28,0.6087,0.3341,0.0686,60.2661,0.4253,NA,"0.9285","0.2148","0.2313","0","0.0018","0.007","0.0196","0.014","0.2318"
"Mixture","cluster12193.cds.aln-cln","MIX{TNe,JC+FO}+I+R3","I+R3",-7953.6791,-5872.5493,"TNe{6.92529,18.7044}+FQ;JC",16021.3581,16025.7691,16326.3376,"Mixture",1557,26,0.649325626204239,"24.02%",480,28,0.6087,1.0136,0.2938,44.4635,2.6795,NA,"2.0821","0.5647","0.2712","0","0.0035","0.025","0.0469","0.0433","0.3599"
"One_class","cluster12193.cds.aln-cln","TNe+I+R3","I+R3",-7979.0795,-5872.5493,"TNe{1,2.7741,1,1,5.2427,1}+I{0.25,0.25,0.25,0.25}",16070.1589,16074.4149,16369.7878,"Mixture",1557,26,0.649325626204239,"24.02%",480,28,0.6087,1.2246,0.3339,44.4635,3.2407,NA,"2.2998","0.6297","0.2738","0","0.0029","0.0214","0.0425","0.0374","0.3434"
"Mixture","cluster12294.cds.aln-cln","MIX{K2P,F81+FO}+I+R2","I+R2",-6951.923,-5087.2496,"K2P{15.3825}+FQ;F81+FO{0.244026,0.217258,0.340287,0.198429}",14017.8459,14022.9517,14314.8205,"Mixture",1353,26,0.61049519586105,"23.65%",396,22,0.4783,0.4065,0.1421,46.0109,0.5536,NA,"1.1671","0.2751","0.2357","0","0.0018","0.008","0.022","0.0142","0.3098"
"One_class","cluster12294.cds.aln-cln","K2P+I+R2","I+R2",-6994.0925,-5087.2496,"K2P{1,3.7485,1,1,3.7485,1}+I{0.25,0.25,0.25,0.25}",14094.185,14098.5915,14370.3192,"Mixture",1353,26,0.61049519586105,"23.65%",396,26,0.5652,0.3756,0.1071,45.5741,0.3931,NA,"1.0803","0.2578","0.2386","0","0.0015","0.0078","0.0238","0.0149","0.3469"
"Mixture","cluster12144.cds.aln-cln","MIX{TN+FO,K80+FO,F81+FO}+G","G4",-10373.105,-9813.7697,"TN{0.720132,3.0129}+FO{0.284283,0.251308,0.358514,0.105895};K2P{10.7247}+FQ;F81+FO{0.101812,0.0340133,0.242006,0.622169}",20868.2099,20872.2484,21207.8495,"Mixture",1935,26,0.566925064599483,"24.96%",753,20,0.4348,0.2767,0.0715,42.8019,0.3776,NA,"1.1809","0.234","0.1982","0","0.001","0.0117","0.023","0.0176","0.2272"
"One_class","cluster12144.cds.aln-cln","TN+F+G4","G4",-10423.0409,-9813.7697,"TN{1,2.7728,1,1,4.3199,1}+F{0.2406,0.2525,0.3078,0.199}",20956.0817,20959.36,21262.3141,"Mixture",1935,26,0.566925064599483,"24.96%",753,20,0.4348,0.2262,0.0549,42.8019,0.2526,NA,"1.1267","0.2266","0.2011","0","0.001","0.0119","0.0241","0.0188","0.253"
"Mixture","cluster12118.cds.aln-cln","MIX{TIM+FO,K81+FO,HKY+FO,K80+FO}+G","G4",-7936.2181,-6582.0409,"TIM{0.0001,95.6844,28.0856}+FO{0.6152,0.134148,0.231512,0.0191407};K3P{2.39431,0.997077}+FQ;HKY{8.12313}+FO{0.0677978,0.1738,0.597828,0.160574};K2P{186.145}+FQ",16004.4362,16010.0443,16361.1587,"Mixture",1644,26,0.662408759124088,"21.72%",466,28,0.6087,0.466,0.1379,41.1825,0.6836,NA,"0.9608","0.2655","0.2763","0","0.0012","0.0079","0.0173","0.0145","0.1138"
"One_class","cluster12118.cds.aln-cln","TIM+F+G4","G4",-7984.9935,-6582.0409,"TIM{1,3.4476,1.4354,1.4354,6.3458,1}+F{0.2391,0.2143,0.3118,0.2348}",16081.987,16086.0097,16384.6607,"Mixture",1644,26,0.662408759124088,"21.72%",466,30,0.6522,0.462,0.1429,38.223,0.6656,NA,"0.8468","0.2246","0.2652","0","0.0013","0.0081","0.0196","0.0151","0.14"
"Mixture","cluster12363.cds.aln-cln","MIX{TN+FO,JC+FO,TNe+FO}+G","G4",-10693.6745,-9294.0798,"TN{1.79665,15.501}+FO{0.380665,0.00697145,0.441369,0.170995};JC;TNe{7.70872,17.6108}+FQ",21505.3491,21508.7793,21839.3514,"Mixture",2124,26,0.591337099811676,"22.65%",658,20,0.4348,0.3085,0.072,31.3688,0.5834,NA,"0.8756","0.2083","0.2379","0","9e-04","0.0091","0.0173","0.0159","0.1864"
"One_class","cluster12363.cds.aln-cln","TN+F+G4","G4",-10733.8925,-9294.0798,"TN{1,2.7778,1,1,4.8536,1}+F{0.2752,0.2052,0.2944,0.2252}",21577.7851,21580.7638,21889.1432,"Mixture",2124,26,0.591337099811676,"22.65%",658,20,0.4348,0.3205,0.0778,31.3688,0.6613,NA,"0.849","0.1728","0.2035","0","9e-04","0.0091","0.0179","0.0145","0.1991"
"Mixture","cluster12244.cds.aln-cln","MIX{TN+FO,JC+FO,HKY+FO,TPM2+FO}+I+R2","I+R2",-10732.7092,-9400.4557,"TN{5.33556,6.9002}+FO{0.152439,0.194535,0.454707,0.198319};JC;HKY{59.3581}+FO{0.483904,0.226165,0.0142247,0.275706};TPM2{100,30.6941}+FQ",21597.4184,21601.65,21972.0657,"Mixture",2157,26,0.626332869726472,"23.09%",648,26,0.5652,0.3877,0.118,46.2601,0.6996,NA,"1.0991","0.3033","0.276","0","0.0021","0.0102","0.0201","0.0217","0.1304"
"One_class","cluster12244.cds.aln-cln","TNe+G4","G4",-10817.0676,-9400.4557,"TNe{1,2.9352,1,1,5.3033,1}+G4{0.25,0.25,0.25,0.25}",21738.1352,21740.755,22033.3119,"Mixture",2157,26,0.626332869726472,"23.09%",648,24,0.5217,0.4324,0.1284,39.6989,0.6518,NA,"0.9832","0.2658","0.2703","0","0.0019","0.0106","0.0224","0.0233","0.1526"
"Mixture","cluster12454.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-5284.617,-4284.4398,"TNe{15.4958,36.2075}+FQ;JC",10675.234,10680.8457,10939.1287,"Mixture",1074,26,0.639664804469274,"21.69%",362,26,0.5652,0.258,0.0639,47.8853,0.3369,NA,"1.0335","0.2208","0.2136","0","0.0013","0.0097","0.0197","0.0183","0.1568"
"One_class","cluster12454.cds.aln-cln","TNe+G4","G4",-5303.0049,-4284.4398,"TNe{1,2.562,1,1,3.8138,1}+G4{0.25,0.25,0.25,0.25}",10710.0098,10715.4085,10968.9254,"Mixture",1074,26,0.639664804469274,"21.69%",362,32,0.6957,0.2944,0.0826,47.8853,0.5013,NA,"0.9676","0.2106","0.2177","0","0.0012","0.0101","0.0211","0.018","0.1774"
"Mixture","cluster12425.cds.aln-cln","MIX{HKY+FO,TNe+FO,K81u+FO}+G","G4",-4591.0466,-3144.0298,"HKY{48.7704}+FO{0.295193,0.237295,0.0509064,0.416606};TNe{1.00232,0.0001}+FQ;K3Pu{1.79276,0.220889}+FO{0.0939602,0.369819,0.414725,0.121496}",9308.0932,9320.6736,9595.2597,"Mixture",705,26,0.470921985815603,"33.05%",330,36,0.7826,1.1295,0.3752,52.5833,4.0678,NA,"1.989","0.6742","0.339","0","0.0032","0.015","0.0348","0.0337","0.3643"
"One_class","cluster12425.cds.aln-cln","HKY+F+G4","G4",-4629.2658,-3144.0298,"HKY{1,3.113,1,1,3.113,1}+F{0.1716,0.3254,0.2762,0.2268}",9366.5316,9375.6701,9612.6743,"Mixture",705,26,0.470921985815603,"33.05%",330,36,0.7826,0.8537,0.2477,50.0799,2.6464,NA,"1.7046","0.5362","0.3146","0","0.0048","0.014","0.0406","0.0326","0.4525"
"Mixture","cluster12291.cds.aln-cln","MIX{TIM3e,TNe+FO,TPM2u+FO,JC+FO}+G","G4",-11876.4791,-9463.4425,"TIM3e{0.687284,1.48069,2.0604}+FQ;TNe{26.6216,42.5631}+FQ;TPM2u{30.6509,16.8199}+FO{0.0147597,0.0883937,0.770702,0.126144};JC",23878.9582,23882.9306,24234.7086,"Mixture",2094,26,0.575453677172875,"25.64%",722,28,0.6087,0.2886,0.0755,41.9166,0.3234,NA,"1.1631","0.2669","0.2295","0","0.0015","0.0135","0.0231","0.026","0.2287"
"One_class","cluster12291.cds.aln-cln","TIM3e+G4","G4",-11934.8771,-9463.4425,"TIM3e{0.7399,2.799,1,0.7399,4.4234,1}+G4{0.25,0.25,0.25,0.25}",23975.7542,23978.5601,24275.0363,"Mixture",2094,26,0.575453677172875,"25.64%",722,26,0.5652,0.2631,0.0661,41.3763,0.2685,NA,"1.1321","0.2652","0.2343","0","0.001","0.0136","0.0237","0.0244","0.245"
"Mixture","cluster1238.cds.aln-cln","MIX{TN+FO,JC+FO}+I+R2","I+R2",-10443.176,-8476.154,"TN{3.82381,9.69255}+FO{0.241068,0.164314,0.335011,0.259607};JC",21002.3521,21006.7619,21314.6595,"Mixture",1611,26,0.48106765983861,"31.04%",791,20,0.4348,0.4916,0.2061,37.5233,1.1735,NA,"1.5159","0.3178","0.2096","0","0.0016","0.0162","0.0302","0.0329","0.309"
"One_class","cluster1238.cds.aln-cln","TIM2+F+I+R2","I+R2",-10457.7202,-8476.154,"TIM2{1.3291,2.6883,1.3291,1,5.202,1}+F{0.2349,0.1988,0.321,0.2453}",21031.4404,21035.8502,21343.7478,"Mixture",1611,26,0.48106765983861,"31.04%",791,20,0.4348,0.4592,0.1906,37.5233,1.0797,NA,"1.479","0.3131","0.2117","0","0.0015","0.0163","0.0309","0.0328","0.3226"
"Mixture","cluster1470.cds.aln-cln","MIX{TPM3u+FO,JC+FO}+G","G4",-7847.6656,-6278.3061,"TPM3u{0.368479,4.23874}+FO{0.219837,0.2216,0.25246,0.306102};JC",15807.3313,15811.1177,16113.2796,"Mixture",1743,26,0.648307515777395,"18.19%",434,18,0.3913,0.4882,0.1188,31.0644,1.2424,NA,"0.6838","0.171","0.2501","0","0.0018","0.0059","0.0138","0.0127","0.1611"
"One_class","cluster1470.cds.aln-cln","TPM3u+F+G4","G4",-7855.0821,-6278.3061,"TPM3u{0.5443,3.6724,1,0.5443,3.6724,1}+F{0.2283,0.2149,0.2639,0.293}",15820.1642,15823.8157,16120.6492,"Mixture",1743,26,0.648307515777395,"18.19%",434,18,0.3913,0.4938,0.1208,31.0644,1.2584,NA,"0.6784","0.1702","0.2509","0","0.0017","0.0059","0.014","0.0128","0.1636"
"Mixture","cluster1813.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-10257.0009,-11689.739,"K2P{9.31702}+FQ;JC",20618.0018,20620.5847,20913.8966,"Mixture",2187,26,0.61042524005487,"16.83%",768,30,0.6522,0.4071,0.1123,49.558,0.9957,NA,"0.8517","0.1882","0.221","5e-04","0.0014","0.0089","0.0172","0.0193","0.1396"
"One_class","cluster1813.cds.aln-cln","K2P+G4","G4",-10273.1258,-11689.739,"K2P{1,3.529,1,1,3.529,1}+G4{0.25,0.25,0.25,0.25}",20648.2515,20650.7358,20938.4561,"Mixture",2187,26,0.61042524005487,"16.83%",768,30,0.6522,0.4174,0.1162,49.558,1.0301,NA,"0.8404","0.1851","0.2203","3e-04","0.0014","0.009","0.0174","0.0194","0.1434"
"Mixture","cluster1277.cds.aln-cln","MIX{HKY+FO,JC+FO}+G","G4",-16535.5714,-17198.8142,"HKY{6.08101}+FO{0.247695,0.199776,0.240882,0.311646};JC",33181.1428,33183.2788,33510.3819,"Mixture",2940,26,0.518707482993197,"25.37%",1253,20,0.4348,0.2562,0.0678,36.1663,0.4855,NA,"1.0662","0.1813","0.17","0","0.0012","0.0134","0.0216","0.0252","0.1887"
"One_class","cluster1277.cds.aln-cln","HKY+F+G4","G4",-16555.0439,-17198.8142,"HKY{1,3.4554,1,1,3.4554,1}+F{0.2444,0.2195,0.2577,0.2784}",33218.0879,33220.1468,33541.3408,"Mixture",2940,26,0.518707482993197,"25.37%",1253,20,0.4348,0.2635,0.0703,36.0555,0.509,NA,"1.0589","0.1803","0.1703","0","0.0011","0.0134","0.0218","0.0253","0.1931"
"Mixture","cluster1380.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-14163.3297,-14502.4718,"TN{8.34727,17.3193}+FO{0.289936,0.163632,0.272548,0.273884};JC",28438.6594,28441.0998,28768.553,"Mixture",2673,26,0.548447437336326,"22.67%",1024,24,0.5217,0.2249,0.0575,50.7543,0.5006,NA,"1.016","0.2092","0.2059","0","0.0014","0.0115","0.0202","0.0194","0.2276"
"One_class","cluster1380.cds.aln-cln","TIM2+F+G4","G4",-14208.9152,-14502.4718,"TIM2{1.2679,3.3165,1.2679,1,5.3422,1}+F{0.2769,0.201,0.268,0.2541}",28529.8303,28532.2707,28859.7239,"Mixture",2673,26,0.548447437336326,"22.67%",1024,24,0.5217,0.2093,0.0567,45.913,0.5488,NA,"0.9922","0.2069","0.2085","0","0.0014","0.0115","0.0207","0.0197","0.24"
"Mixture","cluster1581.cds.aln-cln","MIX{TIM3+FO,JC+FO,TN+FO}+I+G","I+G4",-7548.1541,-5328.733,"TIM3{0.0001,0.0906148,12.4641}+FO{0.355851,0.179737,0.444143,0.0202689};JC;TN{74.6158,4.58577}+FO{0.0221902,0.412592,0.3126,0.252618}",15224.3081,15231.1841,15553.953,"Mixture",1275,26,0.545882352941176,"28.55%",464,24,0.5217,1.4052,0.7119,45.1664,5.1911,NA,"2.3818","0.4653","0.1954","0","0.0018","0.0158","0.0343","0.0213","0.5619"
"One_class","cluster1581.cds.aln-cln","TIM3+F+I+R2","I+R2",-7607.5031,-5328.733,"TIM3{0.4574,1.3142,1,0.4574,4.0511,1}+F{0.2155,0.2975,0.3558,0.1311}",15331.0063,15336.6345,15629.7469,"Mixture",1275,26,0.545882352941176,"28.55%",464,22,0.4783,0.7983,0.3647,41.9166,2.6002,NA,"1.6802","0.3289","0.1958","0","0.0025","0.0175","0.0486","0.0266","0.8966"
"Mixture","cluster1900.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-9930.5933,-10068.846,"TN{6.70879,14.7392}+FO{0.263012,0.188121,0.313398,0.235469};JC",19973.1866,19976.2266,20291.0692,"Mixture",2157,26,0.647658785350023,"19.84%",637,30,0.6522,0.4723,0.1176,51.5461,1.0561,NA,"0.7692","0.2096","0.2725","0","0.001","0.0096","0.0153","0.0153","0.1338"
"One_class","cluster1900.cds.aln-cln","TN+F+G4","G4",-9956.8851,-10068.846,"TN{1,2.8745,1,1,4.85,1}+F{0.2556,0.2143,0.2965,0.2335}",20023.7702,20026.7021,20335.9762,"Mixture",2157,26,0.647658785350023,"19.84%",637,30,0.6522,0.4835,0.1238,50.448,1.1073,NA,"0.7521","0.2055","0.2732","0","0.001","0.0096","0.0157","0.0153","0.14"
"Mixture","cluster2260.cds.aln-cln","MIX{TNe,JC+FO,K80+FO}+G","G4",-5365.2183,-3748.0753,"TNe{0.0001,43.5499}+FQ;JC;K2P{5.74631}+FQ",10840.4366,10846.7676,11111.9355,"Mixture",1029,26,0.635568513119534,"23.71%",318,22,0.4783,0.4728,0.1794,35.5528,1.2405,NA,"1.3896","0.3096","0.2228","0","0.002","0.0089","0.0253","0.0197","0.2591"
"One_class","cluster2260.cds.aln-cln","TNe+I+R2","I+R2",-5378.1575,-3748.0753,"TNe{1,2.7471,1,1,5.6569,1}+I{0.25,0.25,0.25,0.25}",10864.315,10870.4135,11130.8775,"Mixture",1029,26,0.635568513119534,"23.71%",318,24,0.5217,0.4344,0.1539,36.6197,0.8033,NA,"1.2373","0.2856","0.2308","0","0.0023","0.0098","0.0284","0.0232","0.284"
"Mixture","cluster12477.cds.aln-cln","MIX{TN+FO,JC+FO,HKY+FO,K81+FO}+I+R2","I+R2",-11333.7118,-8183.1406,"TN{12.1631,11.856}+FO{0.110775,0.164104,0.462131,0.262989};JC;HKY{100}+FO{0.512829,0.355638,0.0104022,0.121131};K3P{1.23804,35.0451}+FQ",22799.4236,22803.8258,23171.5447,"Mixture",2076,26,0.628131021194605,"24.37%",632,24,0.5217,0.4993,0.168,43.359,1.6997,NA,"1.5295","0.3806","0.2488","0","0.0023","0.0123","0.0241","0.0237","0.2388"
"One_class","cluster12477.cds.aln-cln","TN+F+I+R2","I+R2",-11435.0691,-8183.1406,"TN{1,2.7459,1,1,6.3638,1}+F{0.2251,0.2153,0.3294,0.2302}",22984.1382,22987.4147,23305.5155,"Mixture",2076,26,0.628131021194605,"24.37%",632,24,0.5217,0.243,0.0581,48.2183,0.4465,NA,"1.1807","0.2671","0.2262","0","0.0025","0.0136","0.0312","0.0237","0.3529"
"Mixture","cluster12138.cds.aln-cln","MIX{TN+FO,K80+FO,F81+FO,F81+FO}+I+G","I+G4",-17764.4918,-15300.5037,"TN{2.16273,100}+FO{0.307155,0.36283,0.283548,0.0464664};K2P{13.7499}+FQ;F81+FO{0.194438,0.266561,0.330622,0.208379};F81+FO{0.00226018,0.00389965,0.000100009,0.99374}",35660.9837,35664.3236,36050.8158,"One_class",2715,26,0.478821362799263,"35.54%",1207,32,0.6957,1.2686,0.3701,50.9608,4.8505,NA,"2.2721","0.8239","0.3626","0","0.002","0.0156","0.0336","0.03","0.2761"
"One_class","cluster12138.cds.aln-cln","TN+F+I+G4","I+G4",NA,NA,"TN{1,2.8017,1,1,3.824,1}+F{0.2168,0.258,0.2876,0.2376}",-15300.5037,56,35901.0347,"One_class",2715,26,0.478821362799263,"35.54%",1207,32,0.6957,0.6466,0.1669,50.1298,2.3785,NA,"1.6481","0.5669","0.344","0","0.002","0.018","0.0464","0.0344","0.4133"
"Mixture","cluster2304.cds.aln-cln","K2P+G4","G4",-2480.9361,-1794.7,"K2P{1,3.2163,1,1,3.2163,1}+G4{0.25,0.25,0.25,0.25}",5063.8723,5077.1989,5273.4439,"One_class",450,26,0.528888888888889,"22.44%",186,28,0.6087,0.4204,0.088,45.2106,0.4936,NA,"1.0104","0.2147","0.2125","0","0.0023","0.0115","0.0206","0.0187","0.2651"
"One_class","cluster2304.cds.aln-cln","K2P+G4","G4",-2480.9361,-1794.7,"K2P{1,3.2121,1,1,3.2121,1}+G4{0.25,0.25,0.25,0.25}",5063.8723,5077.1989,5273.4439,"One_class",450,26,0.528888888888889,"22.44%",186,28,0.6087,0.4204,0.088,46.3141,0.4936,NA,"1.0104","0.2147","0.2125","0","0.0023","0.0115","0.0206","0.0187","0.2651"
"Mixture","cluster2262.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-4744.3253,-4076.492,"TNe{6.3468,11.5859}+FQ;JC",9594.6506,9600.766,9854.2289,"Mixture",990,26,0.616161616161616,"19.29%",318,20,0.4348,0.3941,0.0999,29.9333,0.7957,NA,"0.8723","0.1879","0.2154","0","0.001","0.0104","0.0175","0.0181","0.1549"
"One_class","cluster2262.cds.aln-cln","TNe+G4","G4",-4751.8993,-4076.492,"TNe{1,3.2926,1,1,5.221,1}+G4{0.25,0.25,0.25,0.25}",9607.7986,9613.6812,9862.4793,"Mixture",990,26,0.616161616161616,"19.29%",318,20,0.4348,0.3992,0.1028,29.5466,0.822,NA,"0.8551","0.1865","0.2181","0","0.001","0.0105","0.0178","0.0184","0.1614"
"Mixture","cluster2447.cds.aln-cln","TNe+G4","G4",-3311.1181,-2496.0475,"TNe{1,3.0512,1,1,4.5489,1}+G4{0.25,0.25,0.25,0.25}",6726.2361,6736.044,6956.1605,"One_class",615,26,0.544715447154472,"28.62%",238,34,0.7391,0.4764,0.1355,60.3987,0.9988,NA,"0.9581","0.2738","0.2858","0","0.0016","0.0066","0.0196","0.0187","0.1483"
"One_class","cluster2447.cds.aln-cln","TNe+G4","G4",-3311.118,-2496.0475,"TNe{1,3.0588,1,1,4.5672,1}+G4{0.25,0.25,0.25,0.25}",6726.236,6736.0438,6956.1604,"One_class",615,26,0.544715447154472,"28.62%",238,34,0.7391,0.4764,0.1355,61.0655,0.9989,NA,"0.9582","0.2738","0.2857","0","0.0016","0.0066","0.0196","0.0187","0.1483"
"Mixture","cluster2101.cds.aln-cln","MIX{TIM2+FO,JC+FO,K80+FO}+G","G4",-10641.6335,-10934.7434,"TIM2{2.30939,2.64052,14.8549}+FO{0.255089,0.124043,0.410488,0.210379};JC;K2P{15.1092}+FQ",21401.267,21404.4519,21739.5285,"Mixture",2283,26,0.639071397284275,"18.22%",725,18,0.3913,0.4137,0.1076,35.327,1.1066,NA,"0.7911","0.1657","0.2095","0","0.0014","0.0083","0.0159","0.0151","0.1552"
